322049,M. Oladi,M. OLADI,32,IRAN,Right,180,80,CF,C,C,C,C,C,C,C,C,C,C,C,C,A,72,75,76,69,68,70,78,77,72,47,41,76,81,76,71,77,50,50,66,77,4,3,4,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,IRAN,11,, ,
58700,RÔMULO,ROMULO,23,BRAZIL,Right,184,74,CF,C,C,C,C,C,C,C,C,C,C,C,C,A,75,69,72,70,66,72,66,66,75,50,43,78,76,73,74,70,50,50,66,73,4,3,5,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,, ,E.C. VITÓRIA,30,
60098,S. MARTÍNEZ,S. MARTINEZ,30,URUGUAY,Left,183,86,CB,C,A,C,C,C,C,C,C,C,C,C,C,C,57,67,64,67,69,61,64,61,76,67,76,84,69,69,82,73,50,50,71,70,4,3,4,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,, ,QUILMES ATLÉTICO CLUB,2,
302176,Zverotic,ZVEROTIC,26,MONTENEGRO,Right,178,78,RB,C,C,B,A,A,A,B,A,B,C,C,C,C,67,75,72,66,76,64,70,76,70,70,62,75,76,77,75,74,50,50,72,84,6,3,6,6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,MONTENEGRO,17,FULHAM,2,
1073748735,BORHANI,BORHANI,30,IRAN,Right,178,74,CF,C,C,C,C,C,C,C,C,C,B,B,C,A,71,73,80,64,62,66,61,55,72,48,41,78,80,75,71,82,50,50,64,74,4,3,5,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1,1,1,0,0,, ,ESTEGHLAL,9,
53571,SCHLICKE,SCHLICKE,32,GERMANY,Right,194,94,CB,C,A,C,C,C,C,C,C,C,C,C,C,C,63,68,68,64,63,57,55,60,78,73,73,78,72,67,84,74,50,50,81,76,6,3,3,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,1,1,0,0,, ,FSV FRANKFURT,3,
42827,REGATTIN,REGATTIN,22,FRANCE,Right,166,67,AMF,C,C,C,C,C,C,A,A,A,A,A,A,C,70,74,80,75,79,73,81,83,66,52,42,82,77,88,69,72,50,50,69,76,4,3,6,6,0,False,True,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,, ,TOULOUSE FC,17,
57460,F. FREI,FREI,24,SWITZERLAND,Right,183,80,CMF,C,C,C,C,A,A,C,C,A,C,C,C,C,75,78,77,76,76,72,72,75,75,67,60,77,77,76,77,75,50,50,72,82,5,3,5,5,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,1,1,1,1,0,0,, ,, ,
45731,MARANHÃO,MARANHAO,23,BRAZIL,Left,169,63,SS,C,C,C,C,C,C,A,C,A,C,C,A,C,71,78,78,73,76,70,65,65,66,53,43,73,77,77,71,73,50,50,66,75,4,3,4,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,, ,ATLÉTICO PARANAENSE,17,
59817,SAMARIS,SAMARIS,24,GREECE,Right,189,82,CMF,C,C,C,C,C,A,C,A,A,C,C,C,C,72,75,79,76,73,65,69,65,66,61,56,73,76,74,78,72,50,50,70,79,4,3,5,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,, ,OLYMPIACOS FC,14,
47564,E. NADAREVIC,NADAREVIC,26,BOSNIA AND HERZEGOVINA,Left,184,78,LMF,C,C,C,C,C,C,A,B,C,A,B,A,C,72,79,81,73,77,70,75,79,69,53,46,76,81,78,75,76,50,50,72,79,5,3,4,4,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,, ,, ,
44443,ANGOULA,ANGOULA,32,FRANCE,Right,184,82,CB,C,A,C,C,C,C,C,C,C,C,C,C,C,69,72,71,76,75,72,69,72,67,75,77,79,76,72,79,80,50,50,80,75,6,2,5,5,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1,1,0,0,, ,EVIAN THONON GAILLARD,17,
33745,JONAS,JONAS,29,BRAZIL,Right,181,73,SS,C,C,C,C,C,C,A,A,B,C,C,A,A,83,82,83,80,73,79,68,68,72,54,45,79,81,82,77,74,50,50,73,83,5,2,4,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,, ,VALENCIA CF,7,
47595,M. ESCOBAR,ESCOBAR,31,ARGENTINA,Right,185,81,CB,C,A,C,C,A,A,C,C,C,C,C,C,C,63,69,68,70,68,59,53,52,77,71,70,79,73,69,81,71,50,50,71,78,5,3,5,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,, ,TIGRE,20,
42374,CABRAL,CABRAL,22,NETHERLANDS,Left,177,69,RWF,C,C,C,C,C,C,A,A,C,A,A,C,C,71,82,84,72,73,73,73,76,66,45,50,76,81,85,71,78,50,50,60,73,3,3,4,4,0,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1,1,1,0,0,, ,FC TWENTE,11,
47843,HACHEN,HACHEN,22,ARGENTINA,Right,167,68,AMF,C,C,C,C,C,C,A,C,A,C,C,C,C,67,77,79,76,72,75,70,71,60,52,50,73,77,79,72,77,50,50,66,78,4,3,5,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,, ,NEWELL'S OLD BOYS,19,
70185,M. SMITH,SMITH,24,ENGLAND,Right,198,75,CF,C,C,C,C,C,C,C,C,C,C,C,C,A,69,70,67,65,64,69,60,60,80,48,50,77,71,68,81,76,50,50,67,72,4,3,4,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,0,0,, ,, ,
